"","x"
"3",5.66906848354269
"5",5.79434300665058
"6",5.66906848354269
"8",5.7853996661051
"10",6.00375337342565
"11",5.90453075810975
"13",5.87174855437018
"14",7.25851548689269
"16",6.46969509196096
"17",5.36924296688907
"20",5.53091524707101
"22",5.5984109244199
"23",6.00175395340395
"25",5.33492504289774
"26",5.9292403913706
"27",5.79985421509957
"29",5.81540273749484
"31",5.66921226747215
"33",5.8477753281641
"34",6.14455499617709
"35",5.85796006953089
"39",5.67029390657459
"43",5.37580707090552
"44",5.48731466609397
"45",5.51294611236705
"49",5.37580707090552
"53",6.06336861568856
"56",5.94236112761352
"60",5.90890446578482
"63",5.37903684217737
"65",5.74997651290912
"66",5.0744648659371
"70",5.4454428959451
"71",5.44465827542427
"76",5.4454428959451
"77",6.93350263926788
"78",6.10299718398096
"82",5.979733838852
"92",5.20978384498616
"93",6.7816717510465
"98",5.74533106462971
"101",5.61084041066128
"102",6.11024599999318
"103",5.85940691816767
"104",5.65158275036453
"106",6.18916820553569
"107",6.11024599999318
"108",5.76693735136105
"110",5.62999071223069
"113",5.22342909628491
"114",5.34093928691802
"115",5.34093928691802
"117",5.93259182229345
"119",5.22342909628491
"120",5.42458758586219
"124",5.22273487668848
"128",5.99718378435191
"133",5.4715749900414
"134",5.92032877979394
"136",5.96238983550896
"139",6.14490839300913
"140",6.03607256789526
"143",6.11912324351301
"144",5.66193285995609
"145",6.01764510705739
"146",5.94754561564405
"151",6.42331963499501
"152",5.9350357661689
"156",5.65734670062258
"157",5.65734670062258
"160",6.41440082350025
"161",6.51418458127594
"165",5.59109272565861
"166",5.4803860981988
"168",6.46400012210851
"172",5.83251267145246
"173",5.26303858355778
"176",6.3139370042638
"180",5.59928412583685
"181",5.46324260709556
"186",5.41299437894169
"190",5.41703465706593
"192",5.79171868713771
"193",6.10442959050965
"199",5.42777329128132
"200",5.4038418289275
"205",5.66552320045068
"206",5.74401299511164
"207",5.93921232582041
"211",5.61672567084813
"214",6.23376418016737
"215",6.13587107351494
"217",6.10212244535732
"219",5.72428753681865
"221",6.10212244535732
"224",5.71356948306516
"227",6.15395581161689
"230",5.80195965495498
"232",5.73919663278486
"241",5.45028292151267
"248",5.68919002767485
"249",5.73913051705916
"250",5.52506573208971
"253",5.39110940419187
"254",5.93026737281664
"256",5.64582229012282
"259",6.32603305773995
"261",6.45113311629075
"263",5.4019386211171
"264",5.50283511087982
"265",5.6852805021652
"266",5.75497300544117
"267",5.40571011823665
"271",5.40571011823665
"279",5.25711625044479
"280",6.32877319718382
"281",6.54788460568589
"283",5.81322472274499
"288",5.72140494442556
"289",5.72140494442556
"290",5.72140494442556
"292",6.58408615924625
"293",5.66465927545735
"294",5.76858984640309
"302",5.41408506202312
"304",5.95263231065353
"305",5.527289925625
"307",5.53563527698015
"308",5.51386045078779
"309",5.67229003709531
"311",5.89238817171168
"314",5.71694868412223
"317",5.96201981928435
"323",5.96201981928435
"327",6.06582665360445
"329",5.7916354761749
"336",6.08593797093641
"338",5.64302281669762
"339",5.43556480848095
"343",5.52004510997008
"344",5.66830194330707
"345",5.70258712118568
"349",6.19582880131943
"351",6.87181387276589
"353",5.15379406912322
"354",6.26751404349336
"355",5.48359527879619
"356",5.75945579062086
"363",6.16970798484492
"364",5.75945579062086
"365",6.45843917580933
"369",5.79627867510823
"370",6.12726338064418
"374",5.32079175652744
"378",5.57867619876972
"379",5.22872078531301
"387",6.34261207284076
"389",5.82409793526707
"390",5.64612862098781
"391",5.64612862098781
"392",5.2443502678092
"394",6.40318649365021
"397",6.04652729233422
"398",6.55324862891349
"399",5.91370921990446
"400",6.57854483176329
"402",5.23020697678463
"405",6.98530466934211
"407",6.9392276650112
"409",6.12152627811621
"410",6.04652729233422
"413",6.03424564644052
"414",6.03424564644052
"415",5.89708178906552
"418",5.4082039492068
"423",6.14451675533044
"426",6.14699700939803
"432",5.08873900691473
"439",5.58431537260484
"440",5.02477016940966
"441",6.32187026044271
"445",6.55646672170145
"446",5.93160379292962
"449",5.72635208906354
"454",5.86869997150028
"457",6.49037347712662
"462",5.8139146440885
"463",5.82964560815827
"464",4.92545815292621
"468",4.92545815292621
"472",5.61749300774345
"473",6.50491966827038
"476",5.8463962746319
"477",6.58828311229309
"480",5.70712322529077
"481",5.5271129117701
"482",5.75555931752766
"484",5.5271129117701
"486",6.13671922074379
"490",5.44005437724271
"492",6.35177777560203
"493",6.07759052153848
"494",6.44456490774526
"495",6.18466870147351
"498",6.8766167880148
"499",5.12226114902902
"501",5.76728032367656
"503",4.96325420024298
"515",5.85735556516293
"516",5.63832622723159
"517",5.62402861177797
"518",6.24825770475003
"519",6.36615558727314
"520",5.65217890890471
"523",5.93637596533112
"524",5.7048325345171
"525",5.3277023466675
"527",5.76359144192899
"528",6.70022115950806
"529",6.33440969601526
"530",6.46070652256814
"536",5.52588112358485
"539",5.6744029853932
"543",5.13988946006708
"546",6.31795313411369
"548",5.86874579339921
"554",5.72302427879888
"558",5.28418131548244
"560",6.49759766660341
"563",5.40574039802694
"569",5.43809362029591
"570",5.61564834710231
"573",5.57131572197276
"574",6.96728018325562
"576",5.83044887648398
"578",6.88916212624928
"582",5.73799389383711
"584",5.76248369032108
"587",5.47668767528726
"590",5.58855462571679
"592",6.2464695419779
"593",5.45039384168869
"595",5.25649300907769
"598",5.81553830261421
"603",5.24524842931594
"606",5.5666868083694
"607",5.81131895474264
"609",5.93467283543442
"610",5.49788813525684
"611",6.46904660495471
"612",5.55443988688431
"620",5.66326897901124
"623",5.68504608991479
"625",5.10141386349018
"629",5.44194474676056
"630",5.56220392352826
"633",5.72681609556729
"635",6.58482491290764
"636",6.7665275143091
"638",5.45509820942325
"639",5.78537482999524
"641",6.07987271720008
"643",6.00724355263181
"645",5.76736429955138
"646",5.4726670036574
"648",6.17352010607391
"650",5.58928240425234
"651",5.58928240425234
"654",5.82264540515546
"655",6.07289210330335
"656",6.5096780952442
"658",5.14098007981865
"661",4.86132851630348
"662",6.98941950007432
"666",5.24463964947277
"668",6.06460681601826
"672",6.04766789270543
"675",5.50115183879301
